GEOID,NAME,variable,estimate,moe,year
36047023200,"Census Tract 232, Kings County, New York",total_deg,2843,407,2014
36047023200,"Census Tract 232, Kings County, New York",total_lthigh,712,294,2014
36047023200,"Census Tract 232, Kings County, New York",total_ged,1214,246,2014
36047023200,"Census Tract 232, Kings County, New York",total_somecoll,621,155,2014
36047023200,"Census Tract 232, Kings County, New York",total_ba,248,123,2014
36047023200,"Census Tract 232, Kings County, New York",total_grad,48,28,2014
36047023200,"Census Tract 232, Kings County, New York",total_dir_relig_educ,NA,NA,2014
36047023400,"Census Tract 234, Kings County, New York",total_deg,2316,206,2014
36047023400,"Census Tract 234, Kings County, New York",total_lthigh,339,102,2014
36047023400,"Census Tract 234, Kings County, New York",total_ged,1142,156,2014
36047023400,"Census Tract 234, Kings County, New York",total_somecoll,581,148,2014
36047023400,"Census Tract 234, Kings County, New York",total_ba,116,55,2014
36047023400,"Census Tract 234, Kings County, New York",total_grad,138,62,2014
36047023400,"Census Tract 234, Kings County, New York",total_dir_relig_educ,NA,NA,2014
36047047200,"Census Tract 472, Kings County, New York",total_deg,1435,159,2014
36047047200,"Census Tract 472, Kings County, New York",total_lthigh,283,99,2014
36047047200,"Census Tract 472, Kings County, New York",total_ged,503,133,2014
36047047200,"Census Tract 472, Kings County, New York",total_somecoll,355,94,2014
36047047200,"Census Tract 472, Kings County, New York",total_ba,79,41,2014
36047047200,"Census Tract 472, Kings County, New York",total_grad,215,87,2014
36047047200,"Census Tract 472, Kings County, New York",total_dir_relig_educ,NA,NA,2014
36047047400,"Census Tract 474, Kings County, New York",total_deg,1626,223,2014
36047047400,"Census Tract 474, Kings County, New York",total_lthigh,257,93,2014
36047047400,"Census Tract 474, Kings County, New York",total_ged,601,135,2014
36047047400,"Census Tract 474, Kings County, New York",total_somecoll,308,81,2014
36047047400,"Census Tract 474, Kings County, New York",total_ba,265,123,2014
36047047400,"Census Tract 474, Kings County, New York",total_grad,195,80,2014
36047047400,"Census Tract 474, Kings County, New York",total_dir_relig_educ,NA,NA,2014
36047047600,"Census Tract 476, Kings County, New York",total_deg,1891,295,2014
36047047600,"Census Tract 476, Kings County, New York",total_lthigh,416,174,2014
36047047600,"Census Tract 476, Kings County, New York",total_ged,692,190,2014
36047047600,"Census Tract 476, Kings County, New York",total_somecoll,259,117,2014
36047047600,"Census Tract 476, Kings County, New York",total_ba,323,136,2014
36047047600,"Census Tract 476, Kings County, New York",total_grad,201,82,2014
36047047600,"Census Tract 476, Kings County, New York",total_dir_relig_educ,NA,NA,2014
36047023200,"Census Tract 232, Kings County, New York",total_deg,2460,395,2019
36047023200,"Census Tract 232, Kings County, New York",total_lthigh,620,222,2019
36047023200,"Census Tract 232, Kings County, New York",total_ged,1229,330,2019
36047023200,"Census Tract 232, Kings County, New York",total_somecoll,327,132,2019
36047023200,"Census Tract 232, Kings County, New York",total_ba,203,103,2019
36047023200,"Census Tract 232, Kings County, New York",total_grad,81,62,2019
36047023200,"Census Tract 232, Kings County, New York",total_dir_relig_educ,NA,NA,2019
36047023400,"Census Tract 234, Kings County, New York",total_deg,1738,285,2019
36047023400,"Census Tract 234, Kings County, New York",total_lthigh,492,178,2019
36047023400,"Census Tract 234, Kings County, New York",total_ged,587,135,2019
36047023400,"Census Tract 234, Kings County, New York",total_somecoll,357,166,2019
36047023400,"Census Tract 234, Kings County, New York",total_ba,163,79,2019
36047023400,"Census Tract 234, Kings County, New York",total_grad,139,71,2019
36047023400,"Census Tract 234, Kings County, New York",total_dir_relig_educ,NA,NA,2019
36047047200,"Census Tract 472, Kings County, New York",total_deg,1139,117,2019
36047047200,"Census Tract 472, Kings County, New York",total_lthigh,159,59,2019
36047047200,"Census Tract 472, Kings County, New York",total_ged,445,97,2019
36047047200,"Census Tract 472, Kings County, New York",total_somecoll,263,78,2019
36047047200,"Census Tract 472, Kings County, New York",total_ba,158,59,2019
36047047200,"Census Tract 472, Kings County, New York",total_grad,114,52,2019
36047047200,"Census Tract 472, Kings County, New York",total_dir_relig_educ,NA,NA,2019
36047047400,"Census Tract 474, Kings County, New York",total_deg,1217,129,2019
36047047400,"Census Tract 474, Kings County, New York",total_lthigh,166,54,2019
36047047400,"Census Tract 474, Kings County, New York",total_ged,464,95,2019
36047047400,"Census Tract 474, Kings County, New York",total_somecoll,253,89,2019
36047047400,"Census Tract 474, Kings County, New York",total_ba,180,78,2019
36047047400,"Census Tract 474, Kings County, New York",total_grad,154,62,2019
36047047400,"Census Tract 474, Kings County, New York",total_dir_relig_educ,NA,NA,2019
36047047600,"Census Tract 476, Kings County, New York",total_deg,1817,171,2019
36047047600,"Census Tract 476, Kings County, New York",total_lthigh,374,104,2019
36047047600,"Census Tract 476, Kings County, New York",total_ged,691,177,2019
36047047600,"Census Tract 476, Kings County, New York",total_somecoll,362,113,2019
36047047600,"Census Tract 476, Kings County, New York",total_ba,280,93,2019
36047047600,"Census Tract 476, Kings County, New York",total_grad,110,95,2019
36047047600,"Census Tract 476, Kings County, New York",total_dir_relig_educ,NA,NA,2019
